Any;Trimestre;Codi_Districte;Nom_Districte;Codi_Barri;Nom_Barri;Superfície_mitjana_(m2_construïts);Nombre
2022;1;8;Nou Barris;48;la Guineueta;Habitatge usat;76.3
2022;1;8;Nou Barris;49;Canyelles;Habitatge usat;70.3
2022;1;8;Nou Barris;50;les Roquetes;Habitatge usat;55.9
2022;1;8;Nou Barris;51;Verdun;Habitatge usat;56.4
2022;1;8;Nou Barris;52;la Prosperitat;Habitatge usat;58.0
2022;1;8;Nou Barris;53;la Trinitat Nova;Habitatge usat;54.9
2022;1;8;Nou Barris;54;Torre Baró;Habitatge usat;76.5
2022;1;8;Nou Barris;55;Ciutat Meridiana;Habitatge usat;61.0
2022;1;8;Nou Barris;56;Vallbona;Habitatge usat;--
2022;1;9;Sant Andreu;57;la Trinitat Vella;Habitatge usat;62.1
2022;1;9;Sant Andreu;58;Baró de Viver;Habitatge usat;69.3
2022;1;9;Sant Andreu;59;el Bon Pastor;Habitatge usat;70.3
2022;1;9;Sant Andreu;60;Sant Andreu;Habitatge usat;76.2
2022;1;9;Sant Andreu;61;la Sagrera;Habitatge usat;67.2
2022;1;9;Sant Andreu;62;el Congrés i els Indians;Habitatge usat;70.7
2022;1;9;Sant Andreu;63;Navas;Habitatge usat;75.7
2022;1;10;Sant Martí;64;el Camp de l'Arpa del Clot;Habitatge usat;67.1
2022;1;10;Sant Martí;65;el Clot;Habitatge usat;79.9
2022;1;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;Habitatge usat;78.6
2022;1;10;Sant Martí;67;la Vila Olímpica del Poblenou;Habitatge usat;104.3
2022;1;10;Sant Martí;68;el Poblenou;Habitatge usat;74.0
2022;1;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;Habitatge usat;103.2
2022;1;10;Sant Martí;70;el Besòs i el Maresme;Habitatge usat;64.4
2022;1;10;Sant Martí;71;Provençals del Poblenou;Habitatge usat;71.7
2022;1;10;Sant Martí;72;Sant Martí de Provençals;Habitatge usat;71.4
2022;1;10;Sant Martí;73;la Verneda i la Pau;Habitatge usat;73.8
2022;2;1;Ciutat Vella;1;el Raval;Total;67.0
2022;2;1;Ciutat Vella;2;el Barri Gòtic;Total;86.1
2022;2;1;Ciutat Vella;3;la Barceloneta;Total;44.5
2022;2;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Total;66.6
2022;2;2;Eixample;5;el Fort Pienc;Total;90.5
2022;2;2;Eixample;6;la Sagrada Família;Total;75.7
2022;2;2;Eixample;7;la Dreta de l'Eixample;Total;103.7
2022;2;2;Eixample;8;l'Antiga Esquerra de l'Eixample;Total;94.1
2022;2;2;Eixample;9;la Nova Esquerra de l'Eixample;Total;79.4
2022;2;2;Eixample;10;Sant Antoni;Total;79.4
2022;2;3;Sants-Montjuïc;11;el Poble Sec;Total;65.2
2022;2;3;Sants-Montjuïc;12;la Marina del Prat Vermell;Total;72.3
2022;2;3;Sants-Montjuïc;13;la Marina de Port;Total;70.7
2022;2;3;Sants-Montjuïc;14;la Font de la Guatlla;Total;80.7
2022;2;3;Sants-Montjuïc;15;Hostafrancs;Total;63.4
2022;2;3;Sants-Montjuïc;16;la Bordeta;Total;74.1
2022;2;3;Sants-Montjuïc;17;Sants - Badal;Total;68.3
2022;2;3;Sants-Montjuïc;18;Sants;Total;70.0
2022;2;4;Les Corts;19;les Corts;Total;84.6
2022;2;4;Les Corts;20;la Maternitat i Sant Ramon;Total;83.2
2022;2;4;Les Corts;21;Pedralbes;Total;136.0
2022;2;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;Total;141.4
2022;2;5;Sarrià-Sant Gervasi;23;Sarrià;Total;135.9
2022;2;5;Sarrià-Sant Gervasi;24;les Tres Torres;Total;146.8
2022;2;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;Total;135.1
2022;2;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;Total;139.8
2022;2;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;Total;95.2
2022;2;6;Gràcia;28;Vallcarca i els Penitents;Total;97.5
2022;2;6;Gràcia;29;el Coll;Total;62.1
2022;2;6;Gràcia;30;la Salut;Total;81.3
2022;2;6;Gràcia;31;la Vila de Gràcia;Total;74.1
2022;2;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;Total;74.3
2022;2;7;Horta-Guinardó;33;el Baix Guinardó;Total;70.7
2022;2;7;Horta-Guinardó;34;Can Baró;Total;65.9
2022;2;7;Horta-Guinardó;35;el Guinardó;Total;72.9
2022;2;7;Horta-Guinardó;36;la Font d'en Fargues;Total;87.6
2022;2;7;Horta-Guinardó;37;el Carmel;Total;60.4
2022;2;7;Horta-Guinardó;38;la Teixonera;Total;71.7
2022;2;7;Horta-Guinardó;39;Sant Genís dels Agudells;Total;64.0
2022;2;7;Horta-Guinardó;40;Montbau;Total;65.9
2022;2;7;Horta-Guinardó;41;la Vall d'Hebron;Total;78.7
2022;2;7;Horta-Guinardó;42;la Clota;Total;--
2022;2;7;Horta-Guinardó;43;Horta;Total;61.4
2022;2;8;Nou Barris;44;Vilapicina i la Torre Llobeta;Total;70.8
2022;2;8;Nou Barris;45;Porta;Total;60.4
2022;2;8;Nou Barris;46;el Turó de la Peira;Total;60.9
2022;2;8;Nou Barris;47;Can Peguera;Total;57.3
2022;2;8;Nou Barris;48;la Guineueta;Total;76.4
2022;2;8;Nou Barris;49;Canyelles;Total;72.3
2022;2;8;Nou Barris;50;les Roquetes;Total;56.1
2022;2;8;Nou Barris;51;Verdun;Total;62.5
2022;2;8;Nou Barris;52;la Prosperitat;Total;58.9
2022;2;8;Nou Barris;53;la Trinitat Nova;Total;59.8
2022;2;8;Nou Barris;54;Torre Baró;Total;66.5
2022;2;8;Nou Barris;55;Ciutat Meridiana;Total;58.3
2022;2;8;Nou Barris;56;Vallbona;Total;90.0
2022;2;9;Sant Andreu;57;la Trinitat Vella;Total;55.2
2022;2;9;Sant Andreu;58;Baró de Viver;Total;69.5
2022;2;9;Sant Andreu;59;el Bon Pastor;Total;67.5
2022;2;9;Sant Andreu;60;Sant Andreu;Total;80.2
2022;2;9;Sant Andreu;61;la Sagrera;Total;69.9
2022;2;9;Sant Andreu;62;el Congrés i els Indians;Total;78.7
2022;2;9;Sant Andreu;63;Navas;Total;74.4
